DeviceModeId,DeviceTypeId,DeviceModeCode,DeviceModeName,Manufacturer,RatedPower,FactoryModeName
64C0C574-4F2E-4B91-9D47-3BA78A5626CA,9BF1D5DF-57F1-4903-B69C-A29329CF6BA3,18,DKSC 630 250/10,思源电气股份有限公司,NULL,DKSC 630 250/10
0EC8442D-B07D-4D62-B4D1-3BF5A3A9001F,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,24,DTZ178 0.5级电能表,烟台东方威思顿电气股份有限公司,NULL,DTZ178 0.5级电能表
01BA62D1-E6F2-4397-8FBD-3BFD5B61C190,B2BAC1C7-CA76-4150-9274-1B82C55DA90F,2,SYP310S,东方日升新能源股份有限公司,NULL,SYP310S
C32E10E3-6AAC-4A10-9AA3-3CB40A17F0EC,41042D23-F3AF-4DC1-AB23-A97950B6DD60,37,GW115/2000-80,金风,2000.0000,GW115/2000
01E7F0E8-E196-4CC3-9DD7-3D50D657BF43,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,8,S11-8000/35GY,申达电气集团有限公司,NULL,S11-8000/35GY
1732B7BB-7E71-40E4-9084-3E46A2ED8C25,0C109926-7918-4B91-9FB1-2F71B28BACD0,15,PRS-7910,长圆深瑞继保有限公司,NULL,PRS-7910
1A25B9DD-1367-4118-8F79-3E5420D25487,43A89653-168B-46D9-B47D-0B6C773C3AF9,4,NJE-N500KTL,国电南瑞吉电新能源,NULL,NJE-N500KTL
04EB109A-6DF0-4E5E-A40F-3EE46D63229F,7009BB03-B1A3-4EB7-A8C7-342C1F03DCA8,12,SD001(电子围栏系统),南召皇后,NULL,SD001(电子围栏系统)
A2937836-E607-4407-962E-3FA62CBF52CB,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,20,ZN85A-40.5/T1250-31.5,西电宝鸡,NULL,
3C4F02AC-383C-4758-BB0A-3FE3E18D9EA4,0C109926-7918-4B91-9FB1-2F71B28BACD0,12,PCS-9721,南瑞继保,NULL,PCS-9721
868A2E78-4834-4A6C-9AC6-414FF3B5EC8A,B2BAC1C7-CA76-4150-9274-1B82C55DA90F,8,DQ300PSDa,江苏大全,NULL,DQ300PSDa
A1F8C8F8-AF4C-43A6-9557-4268BED0D8D7,458FB3C3-32BC-48FF-B910-C318C461E635,3,PVS-12M,阳光电源股份有限公司,NULL,PVS-12M
B216271B-C857-4072-ACB6-4303CBE997AB,9BF1D5DF-57F1-4903-B69C-A29329CF6BA3,20,THT-DKSC,保定天威恒通电气有限公司,NULL,THT-DKSC
EB526D39-CFD0-4C73-AF15-450115DCC140,641917AE-A7B4-4CA6-8141-B50BC3DEA9D4,15,SPSF-3000,国能日新,NULL,SPSF-3000
8D24200B-2C8C-4EA8-97EF-4558B4D7E49E,458FB3C3-32BC-48FF-B910-C318C461E635,4,PVS-16M,阳光电源股份有限公司,NULL,PVS-16M
B9DFEEAA-8685-4943-B17F-45654525ADB0,73F532E2-27D5-488C-A618-C84A164C5A6A,23,SZ11-25000/110GY,山东泰开高压,NULL,
BFE76C70-3720-4D1E-8B72-456E38B00F25,7009BB03-B1A3-4EB7-A8C7-342C1F03DCA8,18,110kv升压站,宿州协合风力发电有限公司,NULL,110kv升压站
E2C68466-A3A4-437F-A1A5-459D62D093AE,C8B96B26-9DC8-4B91-8655-22FF6E02A593,13,ZGS11-ZG-1100/35,山东鲁能泰山,NULL,ZGS11-ZG-1100/35
2C93D2FB-B82C-473E-AA08-46704A1DAB0D,C8B96B26-9DC8-4B91-8655-22FF6E02A593,26,S11-1100/36-XB2379#,江苏大全箱变科技有限公司,NULL,S11-1100/36-XB2379#
5B6DDD01-31BF-45C6-9FC6-467AD0FDE9F0,E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,12,VG1-4012-31,江苏大全长江电器股份有限公司,NULL,VG1-4012-31
859B708A-D720-4269-A819-497BA90A8AE0,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,17,A1800,elster 公司,NULL,A1800
C86C52C1-9F2D-4E13-807B-499AB373DB15,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,1,GSC-10/12-YA,北京四方继保自动化股份有限公司,NULL,GSC-10/12-YA
1B870CA9-7929-4718-BD75-49F477E150A5,0C109926-7918-4B91-9FB1-2F71B28BACD0,8,WCS2000,安徽立卓,NULL,WCS2000
A693F485-E6AE-4977-A1D9-4A7F0A21F00C,9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,3,ZF10-126G,山东泰开高压开关有限公司,NULL,ZF10-126G
19B51ED5-63CE-4F0B-9CE7-4BAA08346BBA,73F532E2-27D5-488C-A618-C84A164C5A6A,9,LW25A-126,西安西电高压开关有限责任公司,NULL,LW25A-126
17EC7D52-3525-49AD-8F86-4C1DE9C4E68F,EF6594F0-8DAF-40B5-93A3-144F12EE8E6C,8,SZ11-50000/110,山东鲁能泰山电力设备有限公司,NULL,
B7F3DA26-D0E2-4A9C-8174-4CB1FD389362,E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,15,PGV1-40.5P/630-25,河南省平高电气股份有限公司,NULL,PGV1-40.5P/630-25
796412D6-C23B-41F7-B09A-4D4790464F07,E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,22,DQV-1206312221F,江苏大全股份有限公司,NULL,DQV-1206312221F
E44D7ED0-B0C5-4CC4-B55B-4DE57F4B2F5F,C8B96B26-9DC8-4B91-8655-22FF6E02A593,5,SF11-1100/36.75/0.3-0.3,江苏大全长江电器股份有限公司,NULL,SF11-1100/36.75/0.3-0.3
755FB17B-488D-4C44-A03D-4E50ACC021D5,B2BAC1C7-CA76-4150-9274-1B82C55DA90F,13,DQ270PSCa,南京大全,NULL,
6446F8DF-663C-4C3C-B1DF-4F21B27AE180,4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,29,DTZ178,烟台东方威思顿,NULL,
A829D059-D332-4F5A-9032-4FAFD23BC3A4,E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,13,ZR-YJV22-26/35kV-3x150,,NULL,ZR-YJV22-26/35kV-3x150
59A266B0-6949-4089-AB33-4FE5BFEA318B,7009BB03-B1A3-4EB7-A8C7-342C1F03DCA8,16,武威光伏,协合新能源,NULL,武威光伏
15EC2833-D30D-4C38-B85D-51E15A8CFAEE,FA7DC619-9F2C-43FB-9E2A-F7166660DDE0,6,TF-1000,北京旗云创科,NULL,TF-1000
DF7E0911-2A38-4BD9-A7D8-5207BE8E8055,641917AE-A7B4-4CA6-8141-B50BC3DEA9D4,6,长园光功率预测V2.0,长园深瑞继保自动化有限公司,NULL,长园光功率预测V2.0
464D2AED-6C7B-431B-909E-524F2438BDB3,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,5,仓房风电场,南瑞,NULL,仓房风电场
